method,budget,frame,psnr,rays,ms,steps
PT,0.5,0,14.3405,21814,11.759,1520706
PT,0.5,1,16.0004,22109,12.685,1538115
PT,0.5,2,17.3102,22091,11.863,1538009
PT,0.5,3,17.9663,21703,11.385,1504212
PT,0.5,4,18.5747,21914,11.671,1526160
PT,0.5,5,19.1857,21549,11.679,1503831
PT,0.5,6,19.7035,21950,13.538,1525081
PT,0.5,7,20.1544,22237,12.818,1548329
PT,0.5,8,20.4334,21883,14.159,1519584
PT,0.5,9,20.8148,22134,17.657,1538824
PT,0.5,10,21.2110,21983,17.466,1526603
PT,0.5,11,21.4876,22017,17.751,1527407
PT,0.5,12,21.7199,22304,17.801,1562305
PT,0.5,13,21.9660,22096,17.624,1534893
PT,0.5,14,22.3017,21711,17.305,1507051
PT,0.5,15,22.6153,21401,11.270,1479558
PT,0.5,16,22.8311,21909,11.420,1523203
PT,0.5,17,23.1754,21775,11.501,1516285
PT,0.5,18,23.4364,21961,11.409,1514667
PT,0.5,19,23.6605,21816,12.435,1527554
PT,0.5,20,23.9433,21992,11.605,1534629
PT,0.5,21,24.1133,21596,11.280,1498250
PT,0.5,22,24.3166,21873,11.426,1519580
PT,0.5,23,24.5722,21875,11.423,1523591
PT,0.5,24,24.7322,21688,11.331,1508612
PT,0.5,25,24.8473,22060,11.512,1539344
PT,0.5,26,24.9935,21878,11.514,1521185
PT,0.5,27,25.1535,22070,11.493,1527502
PT,0.5,28,25.3351,21883,11.459,1523098
PT,0.5,29,25.4721,22190,11.626,1543103
PT,0.5,30,25.5729,22063,11.442,1524668
PT,0.5,31,25.7061,21896,11.410,1519382
PT,0.5,32,25.8742,22313,11.608,1548699
PT,0.5,33,25.8801,22108,11.624,1548517
PT,0.5,34,25.9700,21791,11.378,1508060
PT,0.5,35,26.0823,22062,11.500,1526569
PT,0.5,36,26.0918,21767,11.336,1499788
PT,0.5,37,26.1339,22027,11.488,1528112
PT,0.5,38,26.2568,22013,11.490,1535585
PT,0.5,39,26.3066,22208,11.526,1533249
PT,0.5,40,26.3052,22092,11.520,1545662
PT,0.5,41,26.3738,21959,11.501,1529515
PT,0.5,42,26.4440,22190,11.576,1536860
PT,0.5,43,26.4606,22149,11.504,1534326
PT,0.5,44,26.6497,21746,11.376,1503328
PT,0.5,45,26.6616,22235,11.617,1548364
PT,0.5,46,26.6100,22091,11.826,1543011
PT,0.5,47,26.5599,22002,11.790,1536519
PT,0.5,48,26.5539,22140,11.652,1538570
PT,0.5,49,26.5590,22109,12.022,1539756
PT,0.5,50,26.6477,22008,11.661,1526185
PT,0.5,51,25.2826,21544,11.377,1500131
PT,0.5,52,25.3159,22183,11.581,1530633
PT,0.5,53,25.3166,22022,11.472,1516900
PT,0.5,54,25.3867,22126,11.552,1536621
PT,0.5,55,25.3278,21694,11.385,1505279
PT,0.5,56,25.3321,22057,11.458,1526446
PT,0.5,57,25.4517,21912,11.528,1529716
PT,0.5,58,25.5384,21844,11.439,1526161
PT,0.5,59,25.2804,21743,11.484,1505339
PT,0.5,60,25.4027,21517,11.394,1508029
PT,0.5,61,25.4039,21910,11.489,1525981
PT,0.5,62,25.4533,21751,11.395,1513858
PT,0.5,63,25.5711,21758,11.485,1524998
PT,0.5,64,25.5544,22003,11.520,1539231
PT,0.5,65,25.6180,22002,11.501,1521149
PT,0.5,66,25.6966,22209,13.314,1535492
PT,0.5,67,25.7258,22108,11.652,1529449
PT,0.5,68,25.7085,21808,11.662,1516451
PT,0.5,69,25.8495,21816,11.616,1520858
PT,0.5,70,25.8569,21567,11.412,1504704
PT,0.5,71,25.8873,21715,11.421,1510276
PT,0.5,72,26.0049,22153,11.583,1538564
PT,0.5,73,25.9403,21867,11.522,1524909
PT,0.5,74,25.9838,21875,11.452,1527348
PT,0.5,75,21.4325,22225,12.315,1561692
PT,0.5,76,21.8910,21737,11.994,1527952
PT,0.5,77,22.2221,21903,11.813,1525554
PT,0.5,78,22.6245,21864,11.638,1538675
PT,0.5,79,22.9748,21934,11.854,1548482
PT,0.5,80,23.2327,21751,11.790,1532464
PT,0.5,81,23.5610,21980,11.650,1540561
PT,0.5,82,23.1074,22240,11.810,1558316
PT,0.5,83,23.3080,22100,11.850,1563919
PT,0.5,84,23.5210,22067,11.638,1548282
PT,0.5,85,23.6744,21846,11.522,1527684
PT,0.5,86,23.8650,21633,11.571,1523218
PT,0.5,87,24.0266,22123,11.792,1553375
PT,0.5,88,24.1837,21828,11.537,1532957
PT,0.5,89,24.3750,22109,11.666,1555357
PT,0.5,90,24.5114,21909,11.609,1530796
PT,0.5,91,24.7158,21746,11.723,1527218
PT,0.5,92,24.7416,21955,11.670,1539262
PT,0.5,93,24.8836,22375,11.774,1557927
PT,0.5,94,25.0744,22101,11.757,1548053
PT,0.5,95,25.0782,22033,11.695,1558502
PT,0.5,96,25.1366,21900,11.670,1543320
PT,0.5,97,25.2540,22116,11.820,1557811
PT,0.5,98,25.2883,22120,11.637,1540748
PT,0.5,99,25.4010,21713,11.582,1520459
PT,0.5,100,25.5405,21780,11.555,1525306
PT,0.5,101,25.6490,21979,12.536,1541727
PT,0.5,102,25.6009,22002,11.763,1547809
PT,0.5,103,25.6839,21970,11.600,1532380
PT,0.5,104,25.8480,22027,11.880,1551716
PT,0.5,105,25.9813,21673,11.560,1516632
PT,0.5,106,25.8836,21906,11.814,1556289
PT,0.5,107,25.9338,22208,11.822,1554765
PT,0.5,108,26.0678,21924,11.872,1532029
PT,0.5,109,26.2097,22104,11.771,1551751
PT,0.5,110,26.2740,22039,12.044,1552903
PT,0.5,111,26.3161,21945,11.887,1547985
PT,0.5,112,26.4885,22119,11.975,1548674
PT,0.5,113,26.2531,21901,11.720,1539648
PT,0.5,114,26.3011,21990,11.755,1549635
PT,0.5,115,26.4567,21944,12.390,1535180
PT,0.5,116,26.5368,21849,12.292,1530115
PT,0.5,117,26.6306,21993,12.148,1548824
PT,0.5,118,26.4311,21758,11.954,1525113
PT,0.5,119,26.5049,22006,12.069,1547742
PT,0.5,120,26.4781,22093,12.318,1545765
PT,0.5,121,26.4945,21929,11.841,1546351
PT,0.5,122,26.5686,21577,11.731,1507338
PT,0.5,123,26.5749,21859,11.807,1537999
PT,0.5,124,26.7719,21779,11.732,1524949
PT,0.5,125,26.1272,21924,11.753,1537207
PT,0.5,126,26.1855,21563,11.589,1517153
PT,0.5,127,25.7247,21881,11.579,1534648
PT,0.5,128,25.6515,22142,11.678,1555888
PT,0.5,129,25.6504,21947,11.674,1546136
PT,0.5,130,25.7807,21758,11.613,1520696
PT,0.5,131,25.9196,22338,11.854,1563124
PT,0.5,132,25.9315,22009,13.716,1550169
PT,0.5,133,25.9936,22008,11.780,1555385
PT,0.5,134,25.9111,21866,11.616,1521527
PT,0.5,135,25.9323,21613,11.777,1519505
PT,0.5,136,26.0991,22041,11.829,1551551
PT,0.5,137,26.1694,22260,11.830,1555389
PT,0.5,138,26.1526,21731,11.603,1517731
PT,0.5,139,26.2640,21741,11.677,1538064
PT,0.5,140,26.2627,21811,11.578,1526923
PT,0.5,141,26.2837,21928,11.740,1548060
PT,0.5,142,26.3909,22132,11.881,1544239
PT,0.5,143,26.4656,22279,12.045,1571715
PT,0.5,144,26.4202,22021,11.663,1541154
PT,0.5,145,26.4821,22077,11.658,1552954
PT,0.5,146,26.5675,21809,11.679,1533916
PT,0.5,147,26.5823,22206,11.796,1552512
PT,0.5,148,26.6785,21884,11.602,1533172
PT,0.5,149,26.7709,22089,11.720,1540725
DDGI,0.5,0,12.5804,17471,16.085,941657
DDGI,0.5,1,13.0432,16868,16.340,972671
DDGI,0.5,2,13.4558,16572,16.217,979662
DDGI,0.5,3,14.0422,16953,16.427,1037526
DDGI,0.5,4,14.5234,16620,16.098,950694
DDGI,0.5,5,14.7507,16547,15.860,912494
DDGI,0.5,6,15.2493,17273,15.787,939618
DDGI,0.5,7,15.4524,17396,16.084,919220
DDGI,0.5,8,15.7546,16848,16.228,958946
DDGI,0.5,9,16.0253,16615,16.134,993098
DDGI,0.5,10,16.4013,16970,16.242,1033617
DDGI,0.5,11,16.6764,16540,16.082,939982
DDGI,0.5,12,16.8310,16531,15.916,917543
DDGI,0.5,13,17.0105,17294,16.374,952691
DDGI,0.5,14,17.1903,17418,15.593,907514
DDGI,0.5,15,17.4329,16809,16.299,951133
DDGI,0.5,16,17.7409,16893,17.109,1031119
DDGI,0.5,17,18.0188,16794,16.659,1009674
DDGI,0.5,18,18.2332,16556,16.103,950366
DDGI,0.5,19,18.3467,16719,16.200,944435
DDGI,0.5,20,18.4751,17128,15.991,934573
DDGI,0.5,21,18.6076,17331,15.531,886500
DDGI,0.5,22,18.8149,16800,16.252,953316
DDGI,0.5,23,19.1110,17020,16.940,1032574
DDGI,0.5,24,19.2562,16684,16.607,992287
DDGI,0.5,25,19.4713,16462,16.422,956306
DDGI,0.5,26,19.5871,16851,16.576,954352
DDGI,0.5,27,19.6896,16998,15.873,924114
DDGI,0.5,28,19.8144,17353,15.437,878123
DDGI,0.5,29,19.9809,17020,16.364,984870
DDGI,0.5,30,20.1602,16910,16.506,1009249
DDGI,0.5,31,20.3310,16622,16.262,984438
DDGI,0.5,32,20.4989,16709,16.502,990414
DDGI,0.5,33,20.6060,16756,16.122,940552
DDGI,0.5,34,20.6749,16926,16.470,920568
DDGI,0.5,35,20.8107,17401,15.896,902674
DDGI,0.5,36,20.9336,17102,18.658,972513
DDGI,0.5,37,21.0253,16795,16.809,987374
DDGI,0.5,38,21.1104,16563,16.743,986254
DDGI,0.5,39,21.2046,16835,16.638,1008652
DDGI,0.5,40,21.2696,16677,16.239,927941
DDGI,0.5,41,21.3435,16814,16.115,915642
DDGI,0.5,42,21.4520,17548,15.879,927511
DDGI,0.5,43,21.5429,17097,16.317,950668
DDGI,0.5,44,21.6560,16641,16.464,969349
DDGI,0.5,45,21.7317,16790,16.674,1021012
DDGI,0.5,46,21.8284,16737,16.279,995280
DDGI,0.5,47,21.8965,16580,15.986,922734
DDGI,0.5,48,21.9253,16717,16.122,922919
DDGI,0.5,49,22.0455,17599,15.801,929236
DDGI,0.5,50,22.1668,17098,16.917,935555
DDGI,0.5,51,22.2787,16598,16.277,966301
DDGI,0.5,52,22.3284,16978,16.612,1046101
DDGI,0.5,53,22.3911,16703,16.205,983411
DDGI,0.5,54,22.4660,16481,16.143,918937
DDGI,0.5,55,22.5050,16895,16.364,953171
DDGI,0.5,56,22.6100,17422,15.673,903672
DDGI,0.5,57,22.6661,17146,15.979,925451
DDGI,0.5,58,22.7773,16701,16.391,985822
DDGI,0.5,59,22.8137,16885,16.465,1033125
DDGI,0.5,60,22.8673,16622,16.259,971590
DDGI,0.5,61,22.9537,16481,16.265,936625
DDGI,0.5,62,23.0029,17040,16.324,958902
DDGI,0.5,63,23.1054,17248,15.503,887984
DDGI,0.5,64,23.1625,17083,15.873,915814
DDGI,0.5,65,23.2068,16973,16.610,1011843
DDGI,0.5,66,23.2423,16840,16.402,1016771
DDGI,0.5,67,23.2929,16574,16.337,971215
DDGI,0.5,68,23.3795,16744,16.481,975045
DDGI,0.5,69,23.4221,16838,16.116,939253
DDGI,0.5,70,23.4749,17171,15.618,885758
DDGI,0.5,71,23.5622,17307,16.261,943605
DDGI,0.5,72,23.6439,16951,17.378,995169
DDGI,0.5,73,23.7245,16790,16.480,1002076
DDGI,0.5,74,23.7711,16589,16.750,992700
DDGI,0.5,75,19.3716,16839,16.741,980026
DDGI,0.5,76,19.4023,16765,16.023,927267
DDGI,0.5,77,19.5167,17083,15.393,895716
DDGI,0.5,78,20.0108,17533,16.101,992876
DDGI,0.5,79,20.3410,16955,16.345,1018914
DDGI,0.5,80,20.4986,16833,16.417,1023475
DDGI,0.5,81,20.6471,16882,16.526,1044512
DDGI,0.5,82,20.8706,16703,17.216,962226
DDGI,0.5,83,21.0016,16655,16.271,916347
DDGI,0.5,84,21.1510,17215,17.586,930903
DDGI,0.5,85,21.5866,17474,15.960,963475
DDGI,0.5,86,21.8226,16911,16.341,1006197
DDGI,0.5,87,21.9459,16707,16.372,1019417
DDGI,0.5,88,22.1013,17050,16.670,1062609
DDGI,0.5,89,22.2893,16625,15.980,954375
DDGI,0.5,90,22.3760,16534,15.987,912664
DDGI,0.5,91,22.5066,17366,15.900,955640
DDGI,0.5,92,22.7127,17395,15.819,935710
DDGI,0.5,93,22.8322,16961,16.155,1005538
DDGI,0.5,94,22.9538,16884,16.496,1050589
DDGI,0.5,95,23.0769,16936,16.342,1032902
DDGI,0.5,96,23.2294,16555,15.942,950063
DDGI,0.5,97,23.3216,16638,16.001,943330
DDGI,0.5,98,23.4529,17259,16.298,943475
DDGI,0.5,99,23.6653,17322,15.676,921482
DDGI,0.5,100,23.7598,16926,16.134,1006103
DDGI,0.5,101,23.8676,17060,16.437,1069878
DDGI,0.5,102,24.0150,16883,16.279,1021539
DDGI,0.5,103,24.1728,16472,16.037,951934
DDGI,0.5,104,24.2775,16846,16.375,967534
DDGI,0.5,105,24.3754,17016,15.769,921809
DDGI,0.5,106,24.5225,17357,15.502,911905
DDGI,0.5,107,24.6277,17074,16.566,1023314
DDGI,0.5,108,24.7478,17049,16.537,1061662
DDGI,0.5,109,24.8354,16712,16.106,1003061
DDGI,0.5,110,24.9734,16627,16.289,993021
DDGI,0.5,111,25.0881,16898,16.070,955530
DDGI,0.5,112,25.1503,16909,15.706,917383
DDGI,0.5,113,25.2188,17355,15.379,912117
DDGI,0.5,114,25.2344,17330,16.428,1039442
DDGI,0.5,115,25.2876,16933,16.281,1036006
DDGI,0.5,116,25.3917,16599,16.351,998197
DDGI,0.5,117,25.4629,16874,16.387,1021085
DDGI,0.5,118,25.5445,16697,15.892,934411
DDGI,0.5,119,25.6151,16801,15.716,917244
DDGI,0.5,120,25.7783,17507,15.601,937715
DDGI,0.5,121,25.8439,17185,17.847,1006176
DDGI,0.5,122,25.7902,16899,16.649,1025171
DDGI,0.5,123,25.8466,16724,16.362,1027654
DDGI,0.5,124,25.9483,16916,16.218,1016052
DDGI,0.5,125,26.0469,16596,15.868,926476
DDGI,0.5,126,26.1211,16742,15.851,920402
DDGI,0.5,127,26.1903,17531,15.563,942538
DDGI,0.5,128,26.2158,17156,16.194,976537
DDGI,0.5,129,26.3305,16837,16.212,1016223
DDGI,0.5,130,26.3769,16987,16.902,1065547
DDGI,0.5,131,26.4292,16795,16.282,996757
DDGI,0.5,132,26.5255,16514,15.954,922004
DDGI,0.5,133,26.6010,16863,16.080,949267
