scene,state,structure,workload,ns_per_ray,steps_per_ray,mismatches
bunker,pre,naive,primary,1136.430,94.7373,0
bunker,pre,brick,primary,340.013,30.9480,0
bunker,pre,super,primary,436.703,25.5886,0
bunker,pre,csdf,primary,551.910,19.6220,0
bunker,pre,brickcol,primary,711.397,30.9480,0
bunker,pre,hx,primary,505.487,19.6220,0
bunker,pre,odf,primary,269.523,13.7281,0
bunker,pre,naive,gather,790.157,68.1035,0
bunker,pre,brick,gather,508.193,31.2259,0
bunker,pre,super,gather,828.760,33.2091,0
bunker,pre,csdf,gather,556.420,27.1430,0
bunker,pre,brickcol,gather,536.750,31.2259,0
bunker,pre,hx,gather,570.077,27.1430,0
bunker,pre,odf,gather,427.940,23.1798,0
bunker,pre,naive,sunshadow,164.357,24.0155,0
bunker,pre,brick,sunshadow,133.240,12.9016,0
bunker,pre,super,sunshadow,173.713,14.3460,0
bunker,pre,csdf,sunshadow,175.737,11.7193,0
bunker,pre,brickcol,sunshadow,149.543,12.9016,0
bunker,pre,hx,sunshadow,145.700,11.7193,0
bunker,pre,odf,sunshadow,134.063,10.7945,0
bunker,pre,naive,emshadow,350.123,34.3729,0
bunker,pre,brick,emshadow,225.063,16.9957,0
bunker,pre,super,emshadow,301.740,19.1620,0
bunker,pre,csdf,emshadow,243.730,15.3742,0
bunker,pre,brickcol,emshadow,243.750,16.9957,0
bunker,pre,hx,emshadow,271.887,15.3742,0
bunker,pre,odf,emshadow,263.190,13.3109,0
bunker,post,naive,primary,907.870,96.4776,0
bunker,post,brick,primary,326.703,31.6252,0
bunker,post,super,primary,467.533,26.2380,0
bunker,post,csdf,primary,387.990,20.2454,0
bunker,post,brickcol,primary,414.480,31.6252,0
bunker,post,hx,primary,451.500,20.2453,0
bunker,post,odf,primary,305.040,14.2533,0
bunker,post,naive,gather,675.927,68.4011,0
bunker,post,brick,gather,355.623,31.3536,0
bunker,post,super,gather,463.363,33.3006,0
bunker,post,csdf,gather,493.943,27.2549,0
bunker,post,brickcol,gather,497.373,31.3536,0
bunker,post,hx,gather,536.740,27.2551,0
bunker,post,odf,gather,515.923,23.2495,0
bunker,post,naive,sunshadow,167.193,25.5786,0
bunker,post,brick,sunshadow,110.447,13.6227,0
bunker,post,super,sunshadow,167.797,15.1157,0
bunker,post,csdf,sunshadow,166.067,12.3862,0
bunker,post,brickcol,sunshadow,144.890,13.6227,0
bunker,post,hx,sunshadow,203.557,12.3862,0
bunker,post,odf,sunshadow,199.887,11.3389,0
bunker,post,naive,emshadow,304.273,40.7202,0
bunker,post,brick,emshadow,216.553,19.7101,0
bunker,post,super,emshadow,311.720,22.0088,0
bunker,post,csdf,emshadow,277.643,17.8576,0
bunker,post,brickcol,emshadow,242.903,19.7101,0
bunker,post,hx,emshadow,349.840,17.8575,0
bunker,post,odf,emshadow,289.360,15.2557,0
cavern,pre,naive,primary,488.513,56.6875,0
cavern,pre,brick,primary,324.063,23.4337,0
cavern,pre,super,primary,481.877,25.2598,0
cavern,pre,csdf,primary,506.013,22.8849,0
cavern,pre,brickcol,primary,374.733,23.4337,0
cavern,pre,hx,primary,372.667,22.8849,0
cavern,pre,odf,primary,362.193,19.6987,0
cavern,pre,naive,gather,313.660,35.8222,0
cavern,pre,brick,gather,329.780,19.5811,0
cavern,pre,super,gather,469.697,22.1916,0
cavern,pre,csdf,gather,485.100,19.2091,0
cavern,pre,brickcol,gather,359.440,19.5811,0
cavern,pre,hx,gather,463.347,19.2091,0
cavern,pre,odf,gather,514.617,17.7181,0
cavern,pre,naive,sunshadow,91.210,10.3725,0
cavern,pre,brick,sunshadow,151.013,7.7441,0
cavern,pre,super,sunshadow,229.620,9.4989,0
cavern,pre,csdf,sunshadow,150.103,7.7398,0
cavern,pre,brickcol,sunshadow,123.410,7.7441,0
cavern,pre,hx,sunshadow,121.240,7.7398,0
cavern,pre,odf,sunshadow,139.700,7.5108,0
cavern,pre,naive,emshadow,447.830,38.4564,0
cavern,pre,brick,emshadow,272.510,22.2504,0
cavern,pre,super,emshadow,434.390,25.1461,0
cavern,pre,csdf,emshadow,463.017,21.7075,0
cavern,pre,brickcol,emshadow,377.890,22.2504,0
cavern,pre,hx,emshadow,456.233,21.7075,0
cavern,pre,odf,emshadow,373.520,20.4824,0
cavern,post,naive,primary,458.813,56.5534,0
cavern,post,brick,primary,272.510,23.3339,0
cavern,post,super,primary,400.927,25.1462,0
cavern,post,csdf,primary,374.290,22.7602,0
cavern,post,brickcol,primary,276.737,23.3078,0
cavern,post,hx,primary,815.750,22.7602,0
cavern,post,odf,primary,391.437,19.6271,0
cavern,post,naive,gather,309.777,35.6215,0
cavern,post,brick,gather,279.393,19.4007,0
cavern,post,super,gather,348.113,22.0172,0
cavern,post,csdf,gather,344.820,19.0281,0
cavern,post,brickcol,gather,301.543,19.2647,23
cavern,post,hx,gather,343.470,19.0281,0
cavern,post,odf,gather,309.103,17.5603,0
cavern,post,naive,sunshadow,64.757,10.2686,0
cavern,post,brick,sunshadow,67.193,7.5603,0
cavern,post,super,sunshadow,107.433,9.2681,0
cavern,post,csdf,sunshadow,98.643,7.5514,0
cavern,post,brickcol,sunshadow,98.250,7.5410,0
cavern,post,hx,sunshadow,100.940,7.5514,0
cavern,post,odf,sunshadow,103.440,7.3306,0
cavern,post,naive,emshadow,297.420,37.8170,0
cavern,post,brick,emshadow,257.647,21.9515,0
cavern,post,super,emshadow,334.173,24.8376,0
cavern,post,csdf,emshadow,331.270,21.4473,0
cavern,post,brickcol,emshadow,358.887,21.9515,0
cavern,post,hx,emshadow,327.090,21.4472,0
cavern,post,odf,emshadow,311.157,20.2883,0
town,pre,naive,primary,1844.153,163.1497,0
