scene,state,structure,workload,ns_per_ray,steps_per_ray,mismatches
cavern,pre,naive,primary,488.513,56.6875,0
cavern,pre,brick,primary,324.063,23.4337,0
cavern,pre,super,primary,481.877,25.2598,0
cavern,pre,csdf,primary,506.013,22.8849,0
cavern,pre,brickcol,primary,374.733,23.4337,0
cavern,pre,hx,primary,372.667,22.8849,0
cavern,pre,odf,primary,362.193,19.6987,0
cavern,pre,naive,gather,313.660,35.8222,0
cavern,pre,brick,gather,329.780,19.5811,0
cavern,pre,super,gather,469.697,22.1916,0
cavern,pre,csdf,gather,485.100,19.2091,0
cavern,pre,brickcol,gather,359.440,19.5811,0
cavern,pre,hx,gather,463.347,19.2091,0
cavern,pre,odf,gather,514.617,17.7181,0
cavern,pre,naive,sunshadow,91.210,10.3725,0
cavern,pre,brick,sunshadow,151.013,7.7441,0
cavern,pre,super,sunshadow,229.620,9.4989,0
cavern,pre,csdf,sunshadow,150.103,7.7398,0
cavern,pre,brickcol,sunshadow,123.410,7.7441,0
cavern,pre,hx,sunshadow,121.240,7.7398,0
cavern,pre,odf,sunshadow,139.700,7.5108,0
cavern,pre,naive,emshadow,447.830,38.4564,0
cavern,pre,brick,emshadow,272.510,22.2504,0
cavern,pre,super,emshadow,434.390,25.1461,0
cavern,pre,csdf,emshadow,463.017,21.7075,0
cavern,pre,brickcol,emshadow,377.890,22.2504,0
cavern,pre,hx,emshadow,456.233,21.7075,0
cavern,pre,odf,emshadow,373.520,20.4824,0
cavern,post,naive,primary,458.813,56.5534,0
cavern,post,brick,primary,272.510,23.3339,0
cavern,post,super,primary,400.927,25.1462,0
cavern,post,csdf,primary,374.290,22.7602,0
cavern,post,brickcol,primary,276.737,23.3078,0
cavern,post,hx,primary,815.750,22.7602,0
cavern,post,odf,primary,391.437,19.6271,0
cavern,post,naive,gather,309.777,35.6215,0
cavern,post,brick,gather,279.393,19.4007,0
cavern,post,super,gather,348.113,22.0172,0
cavern,post,csdf,gather,344.820,19.0281,0
cavern,post,brickcol,gather,301.543,19.2647,23
cavern,post,hx,gather,343.470,19.0281,0
cavern,post,odf,gather,309.103,17.5603,0
cavern,post,naive,sunshadow,64.757,10.2686,0
cavern,post,brick,sunshadow,67.193,7.5603,0
cavern,post,super,sunshadow,107.433,9.2681,0
cavern,post,csdf,sunshadow,98.643,7.5514,0
cavern,post,brickcol,sunshadow,98.250,7.5410,0
cavern,post,hx,sunshadow,100.940,7.5514,0
cavern,post,odf,sunshadow,103.440,7.3306,0
cavern,post,naive,emshadow,297.420,37.8170,0
cavern,post,brick,emshadow,257.647,21.9515,0
cavern,post,super,emshadow,334.173,24.8376,0
cavern,post,csdf,emshadow,331.270,21.4473,0
cavern,post,brickcol,emshadow,358.887,21.9515,0
cavern,post,hx,emshadow,327.090,21.4472,0
cavern,post,odf,emshadow,311.157,20.2883,0
