scene,state,structure,workload,ns_per_ray,steps_per_ray,mismatches
city,pre,naive,primary,1501.373,146.7787,0
city,pre,brick,primary,580.457,43.8831,0
city,pre,super,primary,524.650,29.0596,0
city,pre,csdf,primary,473.387,23.1093,0
city,pre,brickcol,primary,484.000,41.7367,0
city,pre,hx,primary,465.243,22.8121,0
city,pre,odf,primary,364.440,19.8477,0
city,pre,naive,gather,2983.260,184.0637,0
city,pre,brick,gather,570.910,54.8252,0
city,pre,super,gather,573.453,31.6367,0
city,pre,csdf,gather,617.803,25.0181,0
city,pre,brickcol,gather,1102.007,58.0721,0
city,pre,hx,gather,1133.207,24.5338,0
city,pre,odf,gather,520.800,16.3868,0
city,pre,naive,sunshadow,660.480,111.0226,0
city,pre,brick,sunshadow,178.017,34.0983,0
city,pre,super,sunshadow,247.140,20.1744,0
city,pre,csdf,sunshadow,275.970,15.6935,0
city,pre,brickcol,sunshadow,636.260,61.1764,0
city,pre,hx,sunshadow,223.313,15.4034,0
city,pre,odf,sunshadow,149.907,10.8596,0
city,pre,naive,emshadow,1616.723,124.6371,0
city,pre,brick,emshadow,491.270,49.0276,0
city,pre,super,emshadow,645.240,45.7468,0
city,pre,csdf,emshadow,710.610,39.4590,0
city,pre,brickcol,emshadow,979.967,48.0144,0
city,pre,hx,emshadow,827.640,39.4329,0
city,pre,odf,emshadow,554.993,29.3724,0
city,post,naive,primary,1855.293,150.7889,0
city,post,brick,primary,394.177,45.4435,0
city,post,super,primary,438.217,30.4987,0
city,post,csdf,primary,493.203,24.3687,0
city,post,brickcol,primary,547.413,43.2860,0
city,post,hx,primary,481.740,24.0663,0
city,post,odf,primary,444.770,20.9713,0
city,post,naive,gather,2970.743,181.8173,0
city,post,brick,gather,572.507,54.3431,0
city,post,super,gather,604.333,31.6329,0
city,post,csdf,gather,606.460,25.0423,0
city,post,brickcol,gather,838.123,57.4657,0
city,post,hx,gather,624.777,24.5593,0
city,post,odf,gather,457.593,16.5425,0
city,post,naive,sunshadow,870.460,107.2265,0
city,post,brick,sunshadow,265.047,33.2858,0
city,post,super,sunshadow,250.780,20.2576,0
city,post,csdf,sunshadow,244.863,15.7816,0
city,post,brickcol,sunshadow,571.427,58.9374,0
city,post,hx,sunshadow,260.190,15.5071,0
city,post,odf,sunshadow,154.910,11.0957,0
city,post,naive,emshadow,1483.857,128.9533,0
city,post,brick,emshadow,553.493,50.9523,0
city,post,super,emshadow,799.727,47.8416,0
city,post,csdf,emshadow,810.610,41.2924,0
city,post,brickcol,emshadow,781.150,49.9266,0
city,post,hx,emshadow,694.677,41.2602,0
city,post,odf,emshadow,583.197,31.0359,0
