scene,state,structure,workload,ns_per_ray,steps_per_ray,mismatches
town,pre,naive,primary,1844.153,163.1497,0
town,pre,brick,primary,321.170,45.7880,0
town,pre,super,primary,393.323,27.4016,0
town,pre,csdf,primary,378.557,19.3517,0
town,pre,brickcol,primary,429.750,44.5047,0
town,pre,hx,primary,372.933,19.0845,0
town,pre,odf,primary,257.453,15.0625,0
town,pre,naive,gather,1570.427,146.2234,0
town,pre,brick,gather,358.627,41.5338,0
town,pre,super,gather,388.347,22.6727,0
town,pre,csdf,gather,371.020,17.6211,0
town,pre,brickcol,gather,451.137,44.8339,0
town,pre,hx,gather,360.797,17.3100,0
town,pre,odf,gather,209.367,9.9739,0
town,pre,naive,sunshadow,785.487,147.7426,0
town,pre,brick,sunshadow,167.883,39.4021,0
town,pre,super,sunshadow,256.703,16.5642,0
town,pre,csdf,sunshadow,216.100,11.3070,0
town,pre,brickcol,sunshadow,551.737,73.9151,0
town,pre,hx,sunshadow,175.503,10.9681,0
town,pre,odf,sunshadow,140.797,4.5412,0
town,post,naive,primary,1561.840,163.9553,0
town,post,brick,primary,387.717,45.9645,0
town,post,super,primary,409.393,27.4649,0
town,post,csdf,primary,463.627,19.3245,0
town,post,brickcol,primary,421.510,44.7702,0
town,post,hx,primary,359.813,19.0522,0
town,post,odf,primary,250.337,15.0137,0
town,post,naive,gather,1459.830,144.8461,0
town,post,brick,gather,348.143,41.2518,0
town,post,super,gather,393.327,22.6388,0
town,post,csdf,gather,408.193,17.6423,0
town,post,brickcol,gather,495.637,44.3331,0
town,post,hx,gather,395.880,17.3312,0
town,post,odf,gather,233.167,10.0835,0
town,post,naive,sunshadow,1086.907,143.4464,0
town,post,brick,sunshadow,168.060,38.3647,0
town,post,super,sunshadow,234.370,16.2904,0
town,post,csdf,sunshadow,238.250,11.1167,0
town,post,brickcol,sunshadow,1000.700,72.5229,0
town,post,hx,sunshadow,236.703,10.7814,0
town,post,odf,sunshadow,89.570,4.5387,0
town,post,naive,emshadow,664.680,74.3302,0
town,post,brick,emshadow,317.390,28.7139,0
town,post,super,emshadow,399.157,28.7611,0
town,post,csdf,emshadow,360.407,23.6177,0
town,post,brickcol,emshadow,356.773,28.0050,0
town,post,hx,emshadow,370.177,23.6163,0
town,post,odf,emshadow,326.107,16.5469,0
