"image","crop","psnr","plane_rms","ref_plane_rms","excess_rms"
"bunker_PTBG_b0.35x_f149.ppm","circle_wall","34.64","0.18294","0.18306","-0.00012"
"bunker_PTBG_b0.35x_f149.ppm","ceiling_wall","35.31","0.18165","0.18192","-0.00026"
"bunker_PTBG_b0.35x_f149.ppm","doorway_slab","33.95","0.1587","0.16002","-0.00132"
"bunker_PTBG_b0.35x_f149.ppm","green_wall","31.89","0.05419","0.05581","-0.00162"
"bunker_PTBR_b0.35x_f149.ppm","circle_wall","34.76","0.18182","0.18306","-0.00124"
"bunker_PTBR_b0.35x_f149.ppm","ceiling_wall","35.54","0.18023","0.18192","-0.00169"
"bunker_PTBR_b0.35x_f149.ppm","doorway_slab","34.01","0.15759","0.16002","-0.00242"
"bunker_PTBR_b0.35x_f149.ppm","green_wall","32.07","0.05374","0.05581","-0.00207"
"bunker_PTBR_b0.40x_f149.ppm","circle_wall","34.8","0.18122","0.18306","-0.00183"
"bunker_PTBR_b0.40x_f149.ppm","ceiling_wall","35.68","0.1801","0.18192","-0.00182"
"bunker_PTBR_b0.40x_f149.ppm","doorway_slab","34","0.15742","0.16002","-0.0026"
"bunker_PTBR_b0.40x_f149.ppm","green_wall","32.19","0.05332","0.05581","-0.0025"
"bunker_PTCR_post_b0.35x_f149.ppm","circle_wall","35.06","0.18069","0.18306","-0.00236"
"bunker_PTCR_post_b0.35x_f149.ppm","ceiling_wall","35.81","0.17949","0.18192","-0.00242"
"bunker_PTCR_post_b0.35x_f149.ppm","doorway_slab","34.2","0.15752","0.16002","-0.0025"
"bunker_PTCR_post_b0.35x_f149.ppm","green_wall","33.06","0.0532","0.05581","-0.00261"
"bunker_PTCS_post_b0.35x_f149.ppm","circle_wall","35","0.18066","0.18306","-0.00239"
"bunker_PTCS_post_b0.35x_f149.ppm","ceiling_wall","35.7","0.17954","0.18192","-0.00238"
"bunker_PTCS_post_b0.35x_f149.ppm","doorway_slab","34.16","0.15754","0.16002","-0.00247"
"bunker_PTCS_post_b0.35x_f149.ppm","green_wall","32.96","0.05335","0.05581","-0.00246"
