"image","crop","mean_luma_err","rms_luma_err","grad_ratio","grad_err_rms","grad_corr","plane_res_ratio","edge_luma_mae","edge_signed_luma_err","edge_grad_err_rms","edge_bright_frac","mean_green_opp_delta","green_opp_rmse","chroma_rmse","sat_ratio"
"bunker_PTBG_b0.35x_f149.ppm","circle_wall","-0.00407","0.01853","0.9858","0.03318","0.9526","0.9994","0.01995","-0.01265","0.07799","0.1963","0.00293","0.00698","0.0067","0.9643"
"bunker_PTBG_b0.35x_f149.ppm","ceiling_wall","-0.00538","0.01717","0.9781","0.02806","0.9498","0.9985","0.0212","-0.01532","0.06273","0.1781","0.0021","0.00554","0.0057","0.97"
"bunker_PTBG_b0.35x_f149.ppm","doorway_slab","-0.00569","0.02006","0.9013","0.03317","0.8726","0.9918","0.02273","-0.01415","0.07473","0.1568","0.00126","0.00452","0.0053","0.9632"
"bunker_PTBG_b0.35x_f149.ppm","green_wall","-0.01379","0.02544","0.6478","0.0356","0.5705","0.971","0.02792","-0.02152","0.08117","0.1418","0.0011","0.00835","0.00767","0.8927"
"bunker_PTBR_b0.35x_f149.ppm","circle_wall","-0.00273","0.01829","0.9796","0.03311","0.9526","0.9932","0.01941","-0.01277","0.07742","0.2065","0.00279","0.00688","0.00665","0.9671"
"bunker_PTBR_b0.35x_f149.ppm","ceiling_wall","-0.00381","0.01671","0.971","0.02803","0.9498","0.9907","0.02053","-0.01484","0.06215","0.1944","0.00204","0.00554","0.00573","0.9713"
"bunker_PTBR_b0.35x_f149.ppm","doorway_slab","-0.00446","0.01993","0.8995","0.03326","0.8718","0.9849","0.02242","-0.01344","0.0749","0.176","0.00125","0.00457","0.00531","0.9655"
"bunker_PTBR_b0.35x_f149.ppm","green_wall","-0.01203","0.02491","0.6559","0.03597","0.5608","0.9629","0.02739","-0.02032","0.08149","0.1692","0.00108","0.00846","0.00776","0.9001"
"bunker_PTBR_b0.40x_f149.ppm","circle_wall","-0.00262","0.01819","0.9764","0.03305","0.9527","0.99","0.01907","-0.01286","0.07741","0.18","0.00258","0.00668","0.00654","0.9702"
"bunker_PTBR_b0.40x_f149.ppm","ceiling_wall","-0.0039","0.01644","0.9653","0.02783","0.9503","0.99","0.02025","-0.01463","0.0618","0.1846","0.00203","0.00539","0.00562","0.9705"
"bunker_PTBR_b0.40x_f149.ppm","doorway_slab","-0.00438","0.01995","0.896","0.03317","0.8725","0.9838","0.02263","-0.01283","0.07482","0.1936","0.00135","0.00452","0.00519","0.9636"
"bunker_PTBR_b0.40x_f149.ppm","green_wall","-0.01135","0.02458","0.6489","0.0359","0.5619","0.9553","0.02742","-0.02015","0.08162","0.1692","0.00095","0.00823","0.00753","0.8969"
"bunker_PTCI_b0.35x_f149.ppm","circle_wall","-0.00267","0.0184","0.9799","0.03315","0.9525","0.9928","0.01944","-0.01261","0.07735","0.2106","0.00277","0.007","0.00679","0.9686"
"bunker_PTCI_b0.35x_f149.ppm","ceiling_wall","-0.00387","0.01723","0.9715","0.02821","0.9491","0.9914","0.02081","-0.01496","0.0623","0.2042","0.00205","0.00575","0.00593","0.9733"
"bunker_PTCI_b0.35x_f149.ppm","doorway_slab","-0.00438","0.02003","0.8997","0.03326","0.8718","0.9849","0.02253","-0.0133","0.07486","0.1856","0.00126","0.00463","0.00539","0.9659"
"bunker_PTCI_b0.35x_f149.ppm","green_wall","-0.01201","0.02528","0.6609","0.03613","0.5567","0.9678","0.02741","-0.02026","0.08157","0.1631","0.00117","0.00857","0.00794","0.9148"
"bunker_PTCJ_b0.35x_f149.ppm","circle_wall","-0.00272","0.01863","0.98","0.03323","0.9523","0.9928","0.01955","-0.01258","0.07744","0.2086","0.00275","0.00709","0.00694","0.9704"
"bunker_PTCJ_b0.35x_f149.ppm","ceiling_wall","-0.00404","0.01778","0.9718","0.02832","0.9487","0.9925","0.02104","-0.01515","0.06238","0.201","0.00205","0.00592","0.0061","0.9752"
"bunker_PTCJ_b0.35x_f149.ppm","doorway_slab","-0.00435","0.0202","0.9001","0.03332","0.8714","0.985","0.02261","-0.01323","0.07497","0.1856","0.00128","0.00468","0.00549","0.9651"
"bunker_PTCJ_b0.35x_f149.ppm","green_wall","-0.01215","0.0258","0.6647","0.03626","0.5536","0.9737","0.0277","-0.02033","0.08163","0.1677","0.00124","0.00876","0.00815","0.9313"
