"image","crop","mean_luma_err","rms_luma_err","grad_ratio","grad_err_rms","grad_corr","plane_res_ratio","edge_luma_mae","edge_signed_luma_err","edge_grad_err_rms","edge_bright_frac","mean_green_opp_delta","green_opp_rmse","chroma_rmse","sat_ratio"
"bunker_PTBR_b0.35x_f149.ppm","circle_wall","-0.00273","0.01829","0.9796","0.03311","0.9526","0.9932","0.01941","-0.01277","0.07742","0.2065","0.00279","0.00688","0.00665","0.9671"
"bunker_PTBR_b0.35x_f149.ppm","ceiling_wall","-0.00381","0.01671","0.971","0.02803","0.9498","0.9907","0.02053","-0.01484","0.06215","0.1944","0.00204","0.00554","0.00573","0.9713"
"bunker_PTBR_b0.35x_f149.ppm","doorway_slab","-0.00446","0.01993","0.8995","0.03326","0.8718","0.9849","0.02242","-0.01344","0.0749","0.176","0.00125","0.00457","0.00531","0.9655"
"bunker_PTBR_b0.35x_f149.ppm","green_wall","-0.01203","0.02491","0.6559","0.03597","0.5608","0.9629","0.02739","-0.02032","0.08149","0.1692","0.00108","0.00846","0.00776","0.9001"
"bunker_PTBR_b0.40x_f149.ppm","circle_wall","-0.00262","0.01819","0.9764","0.03305","0.9527","0.99","0.01907","-0.01286","0.07741","0.18","0.00258","0.00668","0.00654","0.9702"
"bunker_PTBR_b0.40x_f149.ppm","ceiling_wall","-0.0039","0.01644","0.9653","0.02783","0.9503","0.99","0.02025","-0.01463","0.0618","0.1846","0.00203","0.00539","0.00562","0.9705"
"bunker_PTBR_b0.40x_f149.ppm","doorway_slab","-0.00438","0.01995","0.896","0.03317","0.8725","0.9838","0.02263","-0.01283","0.07482","0.1936","0.00135","0.00452","0.00519","0.9636"
"bunker_PTBR_b0.40x_f149.ppm","green_wall","-0.01135","0.02458","0.6489","0.0359","0.5619","0.9553","0.02742","-0.02015","0.08162","0.1692","0.00095","0.00823","0.00753","0.8969"
"bunker_PTCK_b0.35x_f149.ppm","circle_wall","-0.00277","0.01832","0.9799","0.0331","0.9527","0.9932","0.0194","-0.01274","0.07739","0.2065","0.00283","0.00821","0.00834","0.9773"
"bunker_PTCK_b0.35x_f149.ppm","ceiling_wall","-0.00387","0.01687","0.9717","0.02805","0.9497","0.991","0.02058","-0.0149","0.06211","0.1944","0.00207","0.00725","0.00746","0.9869"
"bunker_PTCK_b0.35x_f149.ppm","doorway_slab","-0.00472","0.01951","0.9041","0.03305","0.8737","0.9865","0.02168","-0.01482","0.07447","0.1632","0.00137","0.00534","0.00624","0.9677"
"bunker_PTCK_b0.35x_f149.ppm","green_wall","-0.0126","0.02547","0.6767","0.03623","0.5565","0.971","0.02741","-0.02126","0.08157","0.1585","0.00159","0.01055","0.00994","1.0337"
"bunker_PTCL_b0.35x_f149.ppm","circle_wall","-0.00272","0.01844","0.9802","0.03317","0.9525","0.9927","0.01948","-0.01265","0.07749","0.2065","0.00282","0.0082","0.00833","0.9774"
"bunker_PTCL_b0.35x_f149.ppm","ceiling_wall","-0.00395","0.01735","0.973","0.0282","0.9492","0.9915","0.02074","-0.01499","0.06223","0.1977","0.00207","0.00723","0.00745","0.9869"
"bunker_PTCL_b0.35x_f149.ppm","doorway_slab","-0.00472","0.01966","0.9057","0.0331","0.8733","0.9867","0.02174","-0.015","0.07455","0.1616","0.00138","0.00535","0.00624","0.9675"
"bunker_PTCL_b0.35x_f149.ppm","green_wall","-0.01272","0.02624","0.6895","0.03655","0.5499","0.9812","0.02769","-0.02125","0.08182","0.1662","0.00158","0.01054","0.00993","1.0328"
