scene,method,mult,frame,psnr,ssim,gpsnr,flicker,rays,ms,steps
bunker,PTD,0.60,0,18.9010,0.33854,21.8972,0.000000,98397,64.061,3195647
bunker,PTD,0.60,1,21.3252,0.41844,23.6486,0.052434,100135,65.485,3256017
bunker,PTD,0.60,2,22.7351,0.47601,24.8262,0.032815,99129,64.818,3229627
bunker,PTD,0.60,3,23.6488,0.50990,25.4659,0.022838,99275,63.053,3228175
bunker,PTD,0.60,4,24.2305,0.53955,26.0138,0.016199,99379,63.443,3233880
bunker,PTD,0.60,5,24.8526,0.56191,26.4757,0.014516,100080,64.414,3260421
bunker,PTD,0.60,6,25.3560,0.58416,26.8732,0.012021,99340,66.398,3241208
bunker,PTD,0.60,7,25.8207,0.60143,27.2433,0.010782,99404,63.811,3233856
bunker,PTD,0.60,8,26.2457,0.61785,27.6285,0.009218,100414,63.501,3267781
bunker,PTD,0.60,9,26.5958,0.63369,27.9446,0.007785,100742,66.705,3285529
bunker,PTD,0.60,10,26.8958,0.64740,28.2026,0.007240,100360,66.288,3274603
bunker,PTD,0.60,11,27.2307,0.66104,28.4517,0.006590,101938,71.776,3325881
bunker,PTD,0.60,12,27.5322,0.67253,28.6799,0.005834,100318,65.122,3267550
bunker,PTD,0.60,13,27.7737,0.67975,28.8886,0.005643,100486,62.927,3271314
bunker,PTD,0.60,14,28.0660,0.69022,29.0866,0.005056,100300,62.286,3259249
bunker,PTD,0.60,15,28.2713,0.69987,29.2886,0.004535,101147,63.206,3297697
bunker,PTD,0.60,16,28.4964,0.70885,29.4797,0.004687,100329,64.368,3266883
bunker,PTD,0.60,17,28.6829,0.71768,29.6481,0.004214,98245,63.379,3202110
bunker,PTD,0.60,18,28.8378,0.72422,29.7868,0.003940,100428,65.055,3267101
bunker,PTD,0.60,19,28.9108,0.72876,29.8126,0.003842,100268,63.875,3277144
bunker,PTD,0.60,20,29.0176,0.73260,29.9045,0.003492,99876,63.206,3256128
bunker,PTD,0.60,21,29.1963,0.73898,30.0637,0.003548,98943,64.227,3224191
bunker,PTD,0.60,22,29.3518,0.74398,30.1783,0.003268,98917,64.223,3218944
bunker,PTD,0.60,23,29.4952,0.74879,30.2873,0.003117,100800,64.496,3281497
bunker,PTD,0.60,24,29.6601,0.75459,30.4052,0.003027,100356,64.038,3273651
bunker,PTD,0.60,25,29.7876,0.75749,30.4830,0.002918,99990,63.636,3254059
bunker,PTD,0.60,26,29.8979,0.76065,30.5569,0.002747,99781,63.614,3251631
bunker,PTD,0.60,27,29.9912,0.76523,30.6349,0.002641,101231,63.920,3302048
bunker,PTD,0.60,28,30.1279,0.76992,30.7340,0.002562,100231,63.987,3263485
bunker,PTD,0.60,29,30.2271,0.77170,30.7846,0.002530,101526,73.845,3302733
bunker,PTD,0.60,30,30.2716,0.77378,30.8120,0.002345,98994,63.230,3214704
bunker,PTD,0.60,31,30.3567,0.77685,30.8830,0.002369,99053,64.592,3224655
bunker,PTD,0.60,32,30.4370,0.77948,30.9473,0.002226,100434,63.603,3267434
bunker,PTD,0.60,33,30.4949,0.78223,31.0112,0.002158,99658,65.548,3238454
bunker,PTD,0.60,34,30.5582,0.78531,31.0585,0.002198,100163,64.915,3256533
bunker,PTD,0.60,35,30.6034,0.78784,31.0988,0.002051,99345,62.760,3227073
bunker,PTD,0.60,36,30.6460,0.78981,31.1392,0.001937,100891,64.673,3295387
bunker,PTD,0.60,37,30.7482,0.79215,31.2010,0.001959,100252,63.376,3263442
bunker,PTD,0.60,38,30.8099,0.79394,31.2349,0.001940,99901,63.924,3250834
bunker,PTD,0.60,39,30.8597,0.79481,31.2614,0.001878,100178,62.775,3255891
bunker,PTD,0.60,40,30.9283,0.79655,31.3029,0.001863,99813,63.857,3247239
bunker,PTD,0.60,41,30.9739,0.79847,31.3428,0.001786,101375,66.404,3304379
bunker,PTD,0.60,42,31.0386,0.80038,31.3888,0.001794,100785,68.264,3275539
bunker,PTD,0.60,43,31.0728,0.80253,31.4209,0.001648,99581,64.509,3241961
bunker,PTD,0.60,44,31.1094,0.80397,31.4548,0.001613,99818,63.407,3251214
bunker,PTD,0.60,45,31.1499,0.80527,31.4842,0.001614,100553,66.460,3277332
bunker,PTD,0.60,46,31.1989,0.80653,31.5136,0.001666,99132,63.466,3219036
bunker,PTD,0.60,47,31.2419,0.80773,31.5465,0.001564,99437,63.166,3241303
bunker,PTD,0.60,48,31.3038,0.80939,31.5864,0.001531,100484,63.259,3277190
bunker,PTD,0.60,49,31.3692,0.81088,31.6189,0.001477,100550,66.049,3272538
bunker,PTD,0.60,50,31.4361,0.81208,31.6457,0.001498,99668,65.267,3245353
