scene,method,mult,frame,psnr,ssim,flicker,rays,ms,steps
bunker,PT,1.00,0,18.0438,0.19006,0.000000,208083,166.836,6692989
bunker,PT,1.00,1,19.7938,0.24417,0.023972,207823,150.734,6694868
bunker,PT,1.00,2,21.1511,0.29044,0.018762,207222,179.726,6684015
bunker,PT,1.00,3,22.1916,0.32469,0.016540,207502,152.458,6679908
bunker,PT,1.00,4,22.9884,0.36004,0.014150,207815,147.349,6695545
bunker,PT,1.00,5,23.6914,0.38728,0.013664,208039,172.958,6701120
bunker,PT,1.00,6,24.3315,0.41516,0.013497,208544,134.315,6723352
bunker,PT,1.00,7,24.7990,0.43350,0.013398,207508,174.975,6686534
bunker,PT,1.00,8,25.1997,0.45463,0.013542,208788,136.578,6723856
bunker,PT,1.00,9,25.3239,0.46652,0.012363,208314,148.013,6713819
bunker,PT,1.00,10,25.4484,0.47524,0.012908,207947,140.257,6701481
bunker,PT,1.00,11,25.7072,0.48523,0.012538,209305,164.921,6747150
bunker,PT,1.00,12,25.9527,0.49636,0.011991,208609,145.909,6711489
bunker,PT,1.00,13,26.0963,0.50354,0.012300,207642,126.743,6684561
bunker,PT,1.00,14,26.3035,0.51313,0.012374,209461,149.248,6738515
bunker,PT,1.00,15,26.4597,0.51398,0.011803,209069,127.875,6743816
bunker,PT,1.00,16,26.4143,0.51167,0.012711,209293,162.442,6746585
bunker,PT,1.00,17,26.4853,0.51388,0.012419,206851,139.615,6666480
bunker,PT,1.00,18,26.5647,0.51650,0.011753,208165,137.058,6696279
bunker,PT,1.00,19,26.6671,0.51999,0.011689,208307,163.382,6722050
bunker,PT,1.00,20,26.8151,0.52249,0.011988,207786,144.301,6705030
bunker,PT,1.00,21,26.7279,0.52161,0.012308,207564,135.861,6689760
bunker,PT,1.00,22,26.8327,0.52560,0.011692,207803,165.883,6693691
bunker,PT,1.00,23,26.9278,0.52680,0.012261,207196,157.593,6678423
bunker,PT,1.00,24,26.9656,0.52439,0.012349,207660,128.117,6700187
bunker,PT,1.00,25,26.9189,0.52308,0.012331,208166,128.616,6701668
bunker,PT,1.00,26,26.8318,0.52178,0.012429,208381,147.275,6709002
bunker,PT,1.00,27,26.8395,0.52175,0.012061,207972,143.317,6689790
bunker,PT,1.00,28,26.9307,0.52421,0.012153,208307,152.320,6708625
bunker,PT,1.00,29,27.0141,0.52918,0.011726,208927,137.989,6727226
bunker,PT,1.00,30,27.0325,0.52806,0.012117,208137,124.433,6704205
bunker,PT,1.00,31,27.0860,0.53052,0.011857,207597,129.947,6688463
bunker,PT,1.00,32,27.1153,0.53289,0.011456,207932,148.986,6672425
bunker,PT,1.00,33,27.1670,0.53418,0.011837,207410,144.400,6684230
bunker,PT,1.00,34,27.0055,0.53121,0.012325,208969,187.971,6723135
bunker,PT,1.00,35,26.6868,0.52887,0.012761,208876,182.352,6725223
bunker,PT,1.00,36,26.6415,0.52621,0.011851,207797,181.126,6695529
bunker,PT,1.00,37,26.7506,0.52435,0.012359,208132,171.244,6701536
bunker,PT,1.00,38,26.6776,0.52320,0.012368,208282,175.843,6699370
bunker,PT,1.00,39,26.8049,0.52668,0.011813,207144,178.497,6663522
bunker,PT,1.00,40,26.8346,0.52433,0.012167,209063,195.327,6735829
bunker,PT,1.00,41,26.8758,0.52462,0.012017,208130,162.591,6710184
bunker,PT,1.00,42,26.7121,0.52160,0.012240,208114,256.672,6700367
bunker,PT,1.00,43,26.7215,0.52469,0.011895,207489,468.862,6674923
bunker,PT,1.00,44,26.7854,0.52727,0.012195,207744,373.662,6689309
bunker,PT,1.00,45,26.7856,0.52580,0.011693,208322,156.648,6707191
bunker,PT,1.00,46,26.7651,0.52412,0.012069,207196,148.998,6669716
bunker,PT,1.00,47,26.6710,0.51925,0.012089,208297,130.622,6717417
bunker,PT,1.00,48,26.7651,0.51905,0.012153,208955,143.653,6726904
bunker,PT,1.00,49,26.7044,0.51834,0.012074,208123,183.680,6701940
bunker,PT,1.00,50,26.7768,0.52113,0.012065,208243,115.435,6702382
bunker,PT,1.00,51,26.8858,0.52339,0.012175,207913,125.608,6693897
bunker,PT,1.00,52,26.9459,0.52394,0.012197,208356,160.681,6712109
bunker,PT,1.00,53,26.8473,0.52428,0.012529,209208,157.342,6735780
bunker,PT,1.00,54,26.8685,0.52815,0.011763,208226,135.777,6700147
bunker,PT,1.00,55,26.8237,0.52494,0.011923,208257,167.989,6712704
bunker,PT,1.00,56,26.8563,0.52489,0.011600,207043,155.807,6661273
bunker,PT,1.00,57,26.7997,0.52594,0.011994,208367,123.792,6705741
bunker,PT,1.00,58,26.8223,0.52747,0.011885,207928,171.134,6698670
bunker,PT,1.00,59,26.8787,0.52644,0.012004,207823,139.473,6709498
bunker,PT,1.00,60,26.9176,0.52778,0.011693,207433,141.994,6679257
bunker,PT,1.00,61,26.8894,0.52941,0.012333,208064,130.522,6693974
bunker,PT,1.00,62,26.7720,0.52444,0.012247,208114,124.633,6696848
bunker,PT,1.00,63,26.4755,0.51913,0.012092,207895,132.612,6687048
bunker,PT,1.00,64,26.5845,0.51928,0.012117,207117,173.554,6668197
bunker,PT,1.00,65,26.6276,0.51943,0.012451,208281,151.512,6726213
bunker,PT,1.00,66,26.6631,0.51977,0.011545,208261,136.772,6712014
bunker,PT,1.00,67,26.6377,0.51868,0.012243,207447,156.478,6666608
bunker,PT,1.00,68,26.5664,0.51685,0.012101,208532,135.957,6722506
bunker,PT,1.00,69,26.4248,0.51402,0.012026,207393,128.566,6674130
bunker,PT,1.00,70,26.4351,0.51488,0.012202,208577,128.688,6722335
bunker,PT,1.00,71,26.3849,0.51469,0.012618,208095,156.391,6696044
bunker,PT,1.00,72,26.3163,0.51186,0.012014,208156,189.699,6700331
bunker,PT,1.00,73,25.9443,0.50876,0.012312,208470,164.327,6718716
bunker,PT,1.00,74,25.9010,0.51136,0.012250,206929,125.061,6666784
bunker,PT,1.00,75,22.5472,0.57284,0.014142,208648,146.221,6778068
bunker,PT,1.00,76,23.5185,0.57624,0.014215,207835,130.805,6773065
bunker,PT,1.00,77,24.2357,0.57875,0.013068,207897,186.962,6769143
bunker,PT,1.00,78,24.9265,0.58790,0.012031,208102,157.719,6764535
bunker,PT,1.00,79,25.4192,0.58964,0.011884,208121,138.225,6773105
bunker,PT,1.00,80,25.8108,0.59192,0.011273,206595,149.585,6725538
bunker,PT,1.00,81,26.1693,0.59411,0.011074,208680,139.261,6793961
bunker,PT,1.00,82,26.4176,0.59362,0.011109,208142,137.047,6766151
bunker,PT,1.00,83,26.6684,0.59419,0.010819,208714,160.732,6805203
bunker,PT,1.00,84,26.7254,0.59499,0.010914,207177,147.432,6726322
bunker,PT,1.00,85,26.9237,0.59917,0.010318,207355,125.848,6754074
bunker,PT,1.00,86,27.0061,0.59873,0.010614,208682,148.383,6794228
bunker,PT,1.00,87,27.0509,0.59978,0.010564,208823,155.391,6812313
bunker,PT,1.00,88,27.2346,0.60310,0.010257,208027,117.858,6763800
bunker,PT,1.00,89,27.3700,0.60538,0.010418,207516,157.647,6747146
bunker,PT,1.00,90,27.4720,0.60808,0.010375,208956,154.979,6792942
bunker,PT,1.00,91,27.5392,0.60757,0.010364,208489,116.693,6786603
bunker,PT,1.00,92,27.6238,0.60836,0.010689,208448,148.465,6784897
bunker,PT,1.00,93,27.6021,0.60831,0.010704,208611,149.855,6797672
bunker,PT,1.00,94,27.4138,0.60861,0.010672,208080,135.220,6780504
bunker,PT,1.00,95,26.9884,0.60670,0.011306,207721,142.143,6774221
bunker,PT,1.00,96,27.1071,0.60998,0.010057,207830,145.553,6761395
bunker,PT,1.00,97,27.1344,0.60736,0.010678,207545,120.337,6761019
bunker,PT,1.00,98,26.6216,0.60182,0.011212,209710,144.574,6831697
bunker,PT,1.00,99,26.7588,0.60698,0.010321,210070,140.262,6835460
bunker,PT,1.00,100,26.7571,0.60599,0.010693,208238,166.636,6768291
bunker,PT,1.00,101,26.8130,0.60604,0.010488,207806,165.623,6767318
bunker,PT,1.00,102,26.7186,0.60050,0.010938,208573,154.979,6791069
bunker,PT,1.00,103,26.9791,0.60393,0.010385,207625,115.866,6758316
bunker,PT,1.00,104,26.9734,0.59866,0.010555,208941,155.020,6798892
bunker,PT,1.00,105,27.0136,0.59867,0.010418,208423,137.636,6799546
bunker,PT,1.00,106,27.1360,0.59956,0.009990,207733,109.761,6772786
bunker,PT,1.00,107,27.2829,0.60213,0.010354,209139,154.538,6798732
bunker,PT,1.00,108,27.4315,0.60597,0.010693,209010,157.356,6804850
bunker,PT,1.00,109,27.3103,0.60151,0.010510,207852,142.777,6768212
bunker,PT,1.00,110,27.3143,0.59915,0.010679,209363,136.102,6828958
bunker,PT,1.00,111,27.0016,0.59679,0.010664,207219,140.168,6748008
bunker,PT,1.00,112,27.0457,0.59604,0.010356,208115,158.967,6769602
bunker,PT,1.00,113,27.1422,0.59541,0.010711,207652,141.415,6766402
bunker,PT,1.00,114,27.2635,0.60102,0.009934,208002,162.394,6781907
bunker,PT,1.00,115,27.3280,0.59924,0.010604,208145,139.858,6774713
bunker,PT,1.00,116,27.0916,0.59887,0.010836,209406,168.840,6823281
bunker,PT,1.00,117,26.7924,0.59742,0.010732,207103,129.313,6730877
bunker,PT,1.00,118,27.0056,0.60193,0.010136,208225,141.569,6767076
bunker,PT,1.00,119,27.0263,0.60216,0.010496,208555,148.249,6785409
bunker,PT,1.00,120,27.1614,0.60251,0.010536,208826,168.609,6788854
bunker,PT,1.00,121,27.2612,0.60291,0.010658,208356,137.399,6780943
bunker,PT,1.00,122,27.2586,0.60072,0.010490,209170,157.587,6806743
bunker,PT,1.00,123,27.3682,0.60360,0.010587,208307,162.080,6774959
bunker,PT,1.00,124,27.4640,0.60461,0.010012,208600,111.405,6792322
bunker,PT,1.00,125,27.5424,0.60581,0.010351,208717,149.925,6792900
bunker,PT,1.00,126,27.5217,0.60395,0.010722,207993,175.312,6763008
bunker,PT,1.00,127,27.0593,0.59773,0.011127,208614,127.258,6784423
bunker,PT,1.00,128,27.0075,0.60240,0.010456,207634,138.077,6772191
bunker,PT,1.00,129,27.0980,0.59920,0.010537,208289,135.778,6782028
bunker,PT,1.00,130,27.1626,0.59861,0.010481,209140,126.972,6808640
bunker,PT,1.00,131,27.2688,0.60042,0.010300,207910,151.031,6755812
bunker,PT,1.00,132,27.3240,0.60166,0.010600,208285,129.256,6780984
bunker,PT,1.00,133,27.1850,0.60000,0.010850,208903,144.595,6800707
bunker,PT,1.00,134,27.2536,0.59980,0.010504,207856,151.908,6780558
bunker,PT,1.00,135,27.3393,0.60130,0.010419,208089,141.377,6776383
bunker,PT,1.00,136,27.2335,0.60242,0.010615,208411,133.045,6790484
bunker,PT,1.00,137,27.3837,0.60757,0.009972,208376,171.196,6792979
bunker,PT,1.00,138,27.4816,0.60863,0.010093,207398,163.154,6761360
bunker,PT,1.00,139,27.5345,0.60874,0.010391,207291,137.786,6739921
bunker,PT,1.00,140,27.5783,0.60867,0.010510,208891,149.033,6788950
bunker,PT,1.00,141,27.5271,0.60568,0.011093,207900,119.741,6760149
bunker,PT,1.00,142,27.6494,0.61020,0.010202,208589,158.840,6770474
bunker,PT,1.00,143,27.5440,0.60983,0.010714,208327,145.307,6791139
bunker,PT,1.00,144,27.5975,0.60874,0.010484,208079,156.709,6774039
bunker,PT,1.00,145,27.4177,0.60724,0.010584,207601,133.928,6755077
bunker,PT,1.00,146,27.4644,0.60831,0.010157,207490,147.891,6760695
bunker,PT,1.00,147,27.5417,0.61052,0.010419,207719,121.803,6752199
bunker,PT,1.00,148,27.6364,0.61220,0.010204,207889,152.026,6762575
bunker,PT,1.00,149,27.6652,0.61202,0.010244,208372,125.237,6775675
bunker,PT,1.00,0,18.0438,0.19006,19.2333,0.000000,208083,161.814,6692989
bunker,PT,1.00,1,19.7938,0.24417,20.7538,0.023972,207823,139.233,6694868
bunker,PT,1.00,2,21.1511,0.29044,21.9157,0.018762,207222,113.534,6684015
bunker,PT,1.00,3,22.1916,0.32469,22.7570,0.016540,207502,148.655,6679908
bunker,PT,1.00,4,22.9884,0.36004,23.5139,0.014150,207815,135.966,6695545
bunker,PT,1.00,5,23.6914,0.38728,24.1009,0.013664,208039,175.896,6701120
bunker,PT,1.00,6,24.3315,0.41516,24.6079,0.013497,208544,133.620,6723352
bunker,PT,1.00,7,24.7990,0.43350,24.9287,0.013398,207508,125.204,6686534
bunker,PT,1.00,8,25.1997,0.45463,25.2266,0.013542,208788,156.969,6723856
bunker,PT,1.00,9,25.3239,0.46652,25.3529,0.012363,208314,167.043,6713819
bunker,PT,1.00,10,25.4484,0.47524,25.4270,0.012908,207947,138.600,6701481
bunker,PT,1.00,11,25.7072,0.48523,25.6343,0.012538,209305,145.915,6747150
