scene,method,mult,frame,psnr,ssim,flicker,rays,ms,steps
bunker,PT,1.00,0,18.0438,0.19006,0.000000,208083,166.520,6692989
bunker,PT,1.00,1,19.7938,0.24417,0.023972,207823,181.459,6694868
bunker,PT,1.00,2,21.1511,0.29044,0.018762,207222,177.109,6684015
bunker,PT,1.00,3,22.1916,0.32469,0.016540,207502,193.843,6679908
bunker,PT,1.00,4,22.9884,0.36004,0.014150,207815,212.262,6695545
bunker,PT,1.00,5,23.6914,0.38728,0.013664,208039,165.806,6701120
bunker,PT,1.00,6,24.3315,0.41516,0.013497,208544,169.525,6723352
bunker,PT,1.00,7,24.7990,0.43350,0.013398,207508,179.035,6686534
bunker,PT,1.00,8,25.1997,0.45463,0.013542,208788,181.486,6723856
bunker,PT,1.00,9,25.3239,0.46652,0.012363,208314,215.244,6713819
bunker,PT,1.00,10,25.4484,0.47524,0.012908,207947,171.227,6701481
bunker,PT,1.00,11,25.7072,0.48523,0.012538,209305,214.663,6747150
bunker,PT,1.00,12,25.9527,0.49636,0.011991,208609,216.697,6711489
bunker,PT,1.00,13,26.0963,0.50354,0.012300,207642,197.597,6684561
bunker,PT,1.00,14,26.3035,0.51313,0.012374,209461,185.377,6738515
bunker,PT,1.00,15,26.4597,0.51398,0.011803,209069,222.519,6743816
bunker,PT,1.00,16,26.4143,0.51167,0.012711,209293,212.584,6746585
bunker,PT,1.00,17,26.4853,0.51388,0.012419,206851,247.657,6666480
bunker,PT,1.00,18,26.5647,0.51650,0.011753,208165,219.634,6696279
bunker,PT,1.00,19,26.6671,0.51999,0.011689,208307,207.557,6722050
bunker,PT,1.00,20,26.8151,0.52249,0.011988,207786,198.314,6705030
bunker,PT,1.00,21,26.7279,0.52161,0.012308,207564,201.098,6689760
bunker,PT,1.00,22,26.8327,0.52560,0.011692,207803,200.851,6693691
bunker,PT,1.00,23,26.9278,0.52680,0.012261,207196,216.274,6678423
bunker,PT,1.00,24,26.9656,0.52439,0.012349,207660,208.274,6700187
bunker,PT,1.00,25,26.9189,0.52308,0.012331,208166,196.310,6701668
bunker,PT,1.00,26,26.8318,0.52178,0.012429,208381,207.794,6709002
bunker,PT,1.00,27,26.8395,0.52175,0.012061,207972,177.073,6689790
bunker,PT,1.00,28,26.9307,0.52421,0.012153,208307,196.601,6708625
bunker,PT,1.00,29,27.0141,0.52918,0.011726,208927,185.835,6727226
bunker,PT,1.00,30,27.0325,0.52806,0.012117,208137,202.676,6704205
bunker,PT,1.00,31,27.0860,0.53052,0.011857,207597,204.693,6688463
bunker,PT,1.00,32,27.1153,0.53289,0.011456,207932,212.965,6672425
bunker,PT,1.00,33,27.1670,0.53418,0.011837,207410,175.186,6684230
bunker,PT,1.00,34,27.0055,0.53121,0.012325,208969,188.918,6723135
bunker,PT,1.00,35,26.6868,0.52887,0.012761,208876,186.535,6725223
bunker,PT,1.00,36,26.6415,0.52621,0.011851,207797,192.038,6695529
bunker,PT,1.00,37,26.7506,0.52435,0.012359,208132,191.790,6701536
bunker,PT,1.00,38,26.6776,0.52320,0.012368,208282,198.078,6699370
bunker,PT,1.00,39,26.8049,0.52668,0.011813,207144,201.831,6663522
bunker,PT,1.00,40,26.8346,0.52433,0.012167,209063,186.935,6735829
bunker,PT,1.00,41,26.8758,0.52462,0.012017,208130,214.151,6710184
bunker,PT,1.00,42,26.7121,0.52160,0.012240,208114,194.142,6700367
