scene,method,mult,frame,psnr,ssim,flicker,rays,ms,steps
bunker,GFC,1.00,0,18.8138,0.19176,0.000000,96934,72.511,3009640
bunker,GFC,1.00,1,19.7358,0.20341,0.021769,94880,67.001,2905314
bunker,GFC,1.00,2,20.1780,0.20688,0.011383,95447,85.395,2963057
bunker,GFC,1.00,3,20.4497,0.20847,0.007769,95838,80.453,2979627
bunker,GFC,1.00,4,20.6349,0.20963,0.005508,95421,89.126,2918862
bunker,GFC,1.00,5,20.7902,0.21108,0.004710,95515,80.485,2932034
bunker,GFC,1.00,6,20.8971,0.21170,0.003843,97102,76.637,3011870
bunker,GFC,1.00,7,20.9679,0.21214,0.002906,97944,69.002,3052840
bunker,GFC,1.00,8,21.0502,0.21267,0.003107,95712,71.088,2941807
bunker,GFC,1.00,9,21.2631,0.21369,0.010166,95579,67.238,2959890
bunker,GFC,1.00,10,21.3423,0.21402,0.008678,95422,71.654,2962091
bunker,GFC,1.00,11,21.3556,0.21422,0.007736,95108,75.093,2912153
bunker,GFC,1.00,12,21.3204,0.21384,0.006643,95382,70.352,2921105
bunker,GFC,1.00,13,21.2570,0.21418,0.005902,96569,70.663,2985773
bunker,GFC,1.00,14,21.1084,0.21276,0.006204,97791,71.696,3039610
bunker,GFC,1.00,15,21.0383,0.21291,0.004492,95415,67.801,2931896
bunker,GFC,1.00,16,20.9497,0.21263,0.004686,96024,70.829,2965244
bunker,GFC,1.00,17,20.8518,0.21261,0.004828,95954,75.578,2994226
bunker,GFC,1.00,18,20.7766,0.21252,0.004299,95920,73.917,2956114
bunker,GFC,1.00,19,20.6964,0.21224,0.004114,95091,88.362,2909013
bunker,GFC,1.00,20,20.6343,0.21224,0.003931,95643,86.887,2949250
bunker,GFC,1.00,21,20.5573,0.21193,0.004242,97476,80.741,3035523
bunker,GFC,1.00,22,20.4777,0.21224,0.004187,95958,80.921,2957934
bunker,GFC,1.00,23,20.4119,0.21181,0.004214,95543,72.932,2949707
bunker,GFC,1.00,24,20.3591,0.21114,0.003873,95823,72.428,2985472
bunker,GFC,1.00,25,20.2972,0.21095,0.004017,95806,69.778,2946094
bunker,GFC,1.00,26,20.2470,0.21051,0.003709,95754,66.544,2930265
bunker,GFC,1.00,27,20.2278,0.21064,0.003570,96087,69.890,2949774
bunker,GFC,1.00,28,20.1727,0.20986,0.003972,97699,66.748,3045321
bunker,GFC,1.00,29,20.1564,0.20991,0.003717,95832,68.574,2951666
bunker,GFC,1.00,30,20.1597,0.21029,0.003738,95246,73.505,2932784
bunker,GFC,1.00,31,20.1220,0.20976,0.003858,95613,71.795,2974571
bunker,GFC,1.00,32,20.0836,0.20969,0.004136,95768,70.324,2961346
bunker,GFC,1.00,33,20.0758,0.20931,0.003899,95415,73.614,2923790
bunker,GFC,1.00,34,20.0412,0.20852,0.003977,95360,71.010,2922404
bunker,GFC,1.00,35,20.0267,0.20777,0.003953,97995,72.758,3050141
bunker,GFC,1.00,36,20.0444,0.20796,0.003691,97069,71.248,3010648
bunker,GFC,1.00,37,20.0493,0.20782,0.003626,95679,79.050,2932437
bunker,GFC,1.00,38,20.0483,0.20827,0.004004,95300,79.445,2958082
bunker,GFC,1.00,39,20.0710,0.20873,0.003533,95378,79.920,2961108
